iter	RMSE
0	20.74819402
1	20.08687011
2	19.4630617
3	18.85692087
4	18.30438788
5	17.79322346
6	17.3016699
7	16.80448255
8	16.37961143
9	15.98270265
10	15.56187051
11	15.20437936
12	14.89322018
13	14.54060922
14	14.25782381
15	13.99246537
16	13.74568248
17	13.53252688
18	13.26103359
19	13.0733011
20	12.89616591
21	12.73675741
22	12.54435076
23	12.33093956
24	12.19387832
25	12.07481575
26	11.90355413
27	11.73425458
28	11.5730147
29	11.48373305
30	11.33059456
31	11.19146498
32	11.05481768
33	10.94080469
34	10.84925291
35	10.79229084
36	10.66618326
37	10.54453778
38	10.42642229
39	10.31409212
40	10.20525535
41	10.09757042
42	9.991947333
43	9.902343347
44	9.808435416
45	9.719399128
46	9.63725961
47	9.546686135
48	9.456417174
49	9.432811895
50	9.342363735
51	9.262480234
52	9.179590154
53	9.154094425
54	9.069949958
55	9.028633442
56	8.989543601
57	8.914482632
58	8.840465006
59	8.763076288
60	8.691127559
61	8.620555846
62	8.552306842
63	8.536919407
64	8.465416127
65	8.456648818
66	8.388302069
67	8.319874183
68	8.253124348
69	8.185859663
70	8.120529844
71	8.055030996
72	8.002122884
73	7.941583545
74	7.878056998
75	7.817320959
76	7.755616274
77	7.695677148
78	7.63676651
79	7.579708535
80	7.550013892
81	7.546125656
82	7.488999653
83	7.485706726
84	7.427969369
85	7.372498072
86	7.316113991
87	7.261106009
88	7.207018304
89	7.152582834
90	7.100651187
91	7.078175408
92	7.03954365
93	6.987592256
94	6.935798909
95	6.884117372
96	6.832756458
97	6.78327595
98	6.734526322
99	6.686284541
100	6.669712381
101	6.621313714
102	6.57204172
103	6.524951362
104	6.478393562
105	6.432534536
106	6.386939487
107	6.341621512
108	6.297070348
109	6.252286314
110	6.208348141
111	6.16459846
112	6.120359145
113	6.075559953
114	6.032797828
115	5.990592177
116	5.949344728
117	5.90822007
118	5.86752731
119	5.827504018
120	5.787909967
121	5.748052693
122	5.70859733
123	5.669545622
124	5.631328845
125	5.592915333
126	5.555482303
127	5.517364301
128	5.480794592
129	5.444542287
130	5.408685603
131	5.373319349
132	5.338161693
133	5.303408182
134	5.268861553
135	5.234521295
136	5.200701107
137	5.167274102
138	5.13411395
139	5.100960432
140	5.068339641
141	5.035172688
142	5.002083044
143	4.970722305
144	4.939654995
145	4.908593746
146	4.877732072
147	4.847476142
148	4.817717554
149	4.788215276
150	4.756906581
151	4.728055763
152	4.702760947
153	4.674226838
154	4.646157611
155	4.618363723
156	4.590783509
157	4.561578964
158	4.534642029
159	4.507882542
160	4.4816273
161	4.455544143
162	4.429709094
163	4.404322897
164	4.376553066
165	4.351609208
166	4.326788691
167	4.302282935
168	4.277953757
169	4.254246763
170	4.230723701
