iter	Passed	Remaining
0	143	215253
1	145	108898
2	146	73346
3	148	55595
4	150	44912
5	151	37776
6	153	32689
7	154	28883
8	156	25908
9	157	23522
10	159	21570
11	160	19945
12	162	18584
13	164	17412
14	165	16414
15	167	15530
16	169	14765
17	170	14070
18	172	13441
19	173	12869
20	175	12364
21	177	11915
22	178	11489
23	180	11113
24	182	10753
25	183	10431
26	185	10133
27	187	9859
28	189	9594
29	190	9341
30	192	9107
31	193	8894
32	195	8686
33	196	8490
34	198	8306
35	200	8139
36	201	7977
37	203	7820
38	204	7674
39	206	7535
40	208	7402
41	209	7274
42	211	7149
43	213	7049
44	214	6943
45	216	6839
46	217	6736
47	219	6639
48	220	6542
49	222	6451
50	223	6360
51	225	6273
52	226	6190
53	228	6113
54	229	6038
55	231	5965
56	232	5895
57	234	5830
58	236	5769
59	237	5706
60	239	5651
61	241	5594
62	243	5545
63	244	5489
64	246	5435
65	247	5382
66	249	5328
67	250	5279
68	252	5230
69	253	5187
70	255	5141
71	257	5098
72	258	5053
73	259	5010
74	261	4967
75	262	4926
76	264	4888
77	265	4849
78	267	4811
79	269	4777
80	270	4741
81	272	4706
82	273	4672
83	275	4641
84	276	4608
85	278	4576
86	279	4545
87	281	4517
88	283	4489
89	284	4460
90	286	4432
91	287	4403
92	289	4376
93	290	4348
94	292	4323
95	293	4296
96	295	4269
97	296	4245
98	298	4219
99	299	4193
100	300	4167
101	302	4144
102	303	4121
103	305	4099
104	306	4077
105	308	4056
106	310	4035
107	311	4015
108	313	3996
109	314	3975
110	315	3954
111	317	3934
112	319	3917
113	320	3899
114	322	3881
115	323	3863
116	325	3850
117	327	3834
118	328	3817
119	330	3800
120	332	3785
121	333	3768
122	335	3752
123	336	3736
124	338	3721
125	339	3706
126	341	3690
127	342	3674
128	344	3659
129	345	3642
130	346	3625
131	348	3610
132	349	3594
133	351	3579
134	352	3564
135	353	3549
136	355	3536
137	357	3524
138	358	3511
139	360	3497
140	361	3485
141	363	3473
142	364	3460
143	366	3447
144	367	3436
145	369	3424
146	370	3413
147	372	3403
148	374	3392
149	375	3382
150	377	3369
151	378	3359
152	380	3350
153	382	3340
154	383	3330
155	385	3320
156	386	3310
157	388	3302
158	390	3291
159	391	3280
160	393	3272
161	394	3262
162	396	3252
163	398	3243
164	399	3233
165	401	3224
166	402	3214
167	404	3204
168	405	3195
169	407	3186
170	408	3177
171	410	3168
172	412	3160
173	413	3151
174	415	3143
175	416	3133
176	417	3122
177	419	3112
178	420	3105
179	422	3096
180	423	3086
181	424	3076
182	426	3069
183	428	3061
184	429	3053
185	430	3044
186	432	3035
187	433	3026
188	434	3017
189	436	3008
190	437	3000
191	439	2991
192	440	2984
193	442	2976
194	443	2969
195	445	2961
196	446	2954
197	448	2946
198	449	2939
199	451	2932
200	452	2924
201	454	2917
202	455	2910
203	456	2902
204	458	2896
205	459	2888
206	461	2879
207	462	2872
208	463	2865
209	465	2859
210	467	2853
